26.01.27 18:26:59 aborted connection, pairingCode: admin
26.01.27 18:26:59 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 18:37:54 aborted connection, pairingCode: admin
26.01.27 18:37:54 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 18:40:46 aborted connection, pairingCode: admin
26.01.27 18:40:46 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 18:44:48 aborted connection, pairingCode: admin
26.01.27 18:44:48 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 18:46:47 aborted connection, pairingCode: admin
26.01.27 18:46:47 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 18:50:32 aborted connection, pairingCode: admin
26.01.27 18:50:32 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 18:50:48 aborted connection, pairingCode: admin
26.01.27 18:50:48 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:02:18 aborted connection, pairingCode: admin
26.01.27 19:02:18 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:03:51 aborted connection, pairingCode: admin
26.01.27 19:03:51 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:09:15 aborted connection, pairingCode: admin
26.01.27 19:09:15 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:10:50 aborted connection, pairingCode: admin
26.01.27 19:10:50 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:23:34 aborted connection, pairingCode: admin
26.01.27 19:23:34 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:40:20 aborted connection, pairingCode: admin
26.01.27 19:40:20 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:44:31 aborted connection, pairingCode: admin
26.01.27 19:44:31 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:49:29 aborted connection, pairingCode: admin
26.01.27 19:49:29 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:52:48 aborted connection, pairingCode: admin
26.01.27 19:52:48 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:55:30 aborted connection, pairingCode: admin
26.01.27 19:55:30 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:56:37 aborted connection, pairingCode: admin
26.01.27 19:56:37 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 19:59:54 aborted connection, pairingCode: admin
26.01.27 19:59:54 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:01:03 aborted connection, pairingCode: admin
26.01.27 20:01:03 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:08:09 aborted connection, pairingCode: admin
26.01.27 20:08:09 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:10:28 aborted connection, pairingCode: admin
26.01.27 20:10:28 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:12:03 aborted connection, pairingCode: admin
26.01.27 20:12:03 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:17:11 aborted connection, pairingCode: admin
26.01.27 20:17:11 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
